operator,new
"River Hill Coal Company, Inc.",river_hill_coal
"River Hill Coal Company, Inc.",river_hill_coal
"Forcey Coal, Inc.",forcey_coal
"Swisher Contracting, Inc.",swisher_contracting
"Sky Haven Coal, Inc.",sky_haven_coal
Philip Reese Coal Company,philip_reese_coal
"Glacial Minerals, Inc.",glacial_minerals
"Amerikohl Mining, Inc.",amerikohl_mining
"Swisher Contracting, Inc.",swisher_contracting
"PBS Coals, Inc.",pbs_coals
"PBS Coals, Inc.",pbs_coals
"Amerikohl Mining, Inc.",amerikohl_mining
Albert F. Stiffler,albert_f_stiffler
"BPB America, Inc.",bpb_america
Hepburnia Coal Company,hepburnia_coal
Pennweir Construction Co.,pennweir_construction
Ben. F. Jordan,ben_f_jordan
Ben. J. Jordon,ben_j_jordon
Aloe Coal Co.,aloe_coal
Ed Mikel Coal Co.,ed_mikel_coal
Bologna Mining Co.,bologna_mining
Pittsburgh Coal Co.,pittsburgh_coal
The Rondell Co.,the_rondell
Glitsky Coal Co.,glitsky_coal
Glitsky Coal Co.,glitsky_coal
"Altmire Brothers Coal Co., Inc.",altmire_brothers_coal
The Randell Co.,the_randell
Stefkovich Brothers,stefkovich_brothers
Ulishney Fuel Co.,ulishney_fuel
"Apex Co., Inc.",apex
"Apex Co., Inc.",apex
Mazzaro Coal Co.,mazzaro_coal
Joseph F. Weaver,joseph_f_weaver
"Bortz Coal Co., Inc.",bortz_coal
"Kelley Enterprises, Inc.",kelley_enterprises
Macar Service & Supply Co.,macar_service_supply
Solomon & Teslovich,solomon_teslovich
Hibbs & Myers Coal Co.,hibbs_myers_coal
Eastman Woodward,eastman_woodward
Greensburg Connellsville Coal & Coke Co.,greensburg_connellsville_coal_coke
Hickory Coal Co.,hickory_coal
J. H. Filby Coal Co.,j_h_filby_coal
Chutz Bros.,chutz_bros
George O. Stahl & Elva Stahl,stahl
Charles J. Lowery,charles_j_lowery
The Edward James jCo.,the_edward_james_jco
C & S Coal Co.,c_s_coal
Ray Anderson & Sons,ray_anderson_sons
P.&R. Coal Co.,pr_coal
Fleck Coal Co.,fleck_coal
U.S. Utilities Services Corp.,us_utilities_services
"Crescent Hills Coal Co., Inc",crescent_hills_coal
Dominick J. Betters,dominick_j_betters
North Star Coal Co.,north_star_coal
"Trelfall Brothers, Inc.",trelfall_brothers
Decker Construction Co.,decker_construction
Leon G. McElahaney & George W. Logan,leon_g_mcelahaney_george_w_logan
Penowa Coal Co.,penowa_coal
The N. & Z. Co.,the_n_z
Armando Rupani,armando_rupani
Indyk Brothers Construction Co.,indyk_brothers_construction
M. & I. Corp.,m_i
"Davis Brothers Coal Co., Inc.",davis_brothers_coal
C.& J. Coal Co.,c_j_coal
Menallen Coke Co.,menallen_coke
Pittsburgh Consolidation Coal Co.,pittsburgh_consolidation_coal
Calavenzo Coal,calavenzo_coal
Rathgeb & Gorr,rathgeb_gorr
P & L Coal Co.,p_l_coal
Nasir E. Carothers,nasir_e_carothers
Beighley Coal Co.,beighley_coal
Hyman Weinberg,hyman_weinberg
Hyman Weinberg,hyman_weinberg
E. & J. Contracting Co.,e_j_contracting
Peiritsch Brunner & Moretti,peiritsch_brunner_moretti
Sam Pandolfo,sam_pandolfo
Fayette Fuel Co.,fayette_fuel
